ID|Descrizione|RagSoc|Paese|ANCODICE|ANDESCRI
9574|JOINT 5x5 A|DIGITECH|ITALIA|000056|DIGITECH SOLUZIONI di ZAVOLI DENNIS
9575|JOINT 5x5 A|RINALDIN|ITALIA|000124|RINALDIN S.R.L.
9576|JOINT 5x5 A|SIMEK|REP. CECA|000095|SIMEK PROFICENTRUM S.R.O.
9556|JOINT 5X5 AS|SIMEK|REP. CECA|000095|SIMEK PROFICENTRUM S.R.O.
9562|JOINT 5X5 AS|SIMEK|REP. CECA|000095|SIMEK PROFICENTRUM S.R.O.
9563|JOINT 5X5 AS|MIK|SLOVENIA|000072|MIK D.O.O.
9566|JOINT 5X5 AS|AVTOGRAF|BULGARIA|000096|AVTOGRAF LTD.
9577|JOINT 5X5MA/AS/SUPER|RINALDIN|ITALIA|000124|RINALDIN S.R.L.
9578|JOINT 5X5MA/AS/SUPER|RINALDIN|ITALIA|000124|RINALDIN S.R.L.
|||||
|||||
|||||
|||||
|||||
