ID|Descrizione|RagSoc|Paese| ANCODICE |ANDESCRI||||
1500229|A5|SEA GOD|CINA|000274|SEA-GOD ART(HUIZHOU) LTD.||||
1500230|A5|SEA GOD|CINA|000274|SEA-GOD ART(HUIZHOU) LTD.||||
1500259|A5|PG|ITALIA - MILANO|000037|ENGARDO SRL SOCIO UNICO||||
1600255|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600256|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600257|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600258|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600259|A5|VIEWTECH INDUSTRIAL|HONG KONG||???||||
1600320|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600321|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600322|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600323|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600324|A5|DA.VI.GA.|SPAGNA|000341|DANIEL VILLACORTA GALAN||||
1600325|A5|CEANOTHE|FRANCIA| 000012 |CEANOTHE HOLDING||||
1600393|A5|VIEWTECH INDUSTRIAL|HONG KONG|000260|CHU KWUN KEE METAL MFY LTD,||||
1600394|A5|SHANDONG INTCO|CINA|000024|SHANDONG INTCO RECYCLING RESOURCE CO., LTD.||||
1600395|A5|SHANDONG INTCO|CINA|000024|SHANDONG INTCO RECYCLING RESOURCE CO., LTD.||||
1600396|A5|SHANDONG INTCO|CINA|000024|SHANDONG INTCO RECYCLING RESOURCE CO., LTD.||||
1600397|A5|SHANDONG INTCO|CINA|000024|SHANDONG INTCO RECYCLING RESOURCE CO., LTD.||||
1600398|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600399|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600400|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600401|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600402|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600433|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600434|A5|0 NESSUNO|||???||||
1700431|A5|INTCO|CINA|000279|INTCO INTERNATIONAL (HK) CO., LIMITED||||
1700432|A5|FIERA BOLOGNA|ITALIA||???||||
1700434|A5|FIERA BOLOGNA|ITALIA||???||||
1700435|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1700436|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1700437|A5|SEA GOD|CINA|000274|SEA-GOD ART(HUIZHOU) LTD.||||
1700438|A5|SEA GOD|CINA|000274|SEA-GOD ART(HUIZHOU) LTD.||||
1700439|A5|SEA GOD|CINA|000274|SEA-GOD ART(HUIZHOU) LTD.||||
1700440|A5|SEA GOD|CINA|000274|SEA-GOD ART(HUIZHOU) LTD.||||
